date,value
2020-12-02,59.2
2021-04-02,58.19
2021-05-02,58.61
2021-06-02,58.73
2021-07-02,57.97
2021-10-02,58.28
2021-11-02,59.3
2021-12-02,59.35
2022-01-02,58.76
2022-02-02,58.54
2020-01-03,59.39
2020-02-03,59.14
2020-03-03,58.8
2020-04-03,59.29
2020-05-03,60.52
2020-08-03,61.72
2020-09-03,61.49
2020-10-03,61.59
2020-11-03,61.89
2020-12-03,62.9
2021-03-03,62.8
2021-04-03,62.97
2021-05-03,61.89
2021-06-03,63.57
2021-07-03,64.24
2021-10-03,64.46
2021-11-03,64.06
2021-12-03,64.94
2022-01-03,64.94
2022-02-03,64.86
2022-05-03,65.64
2022-06-03,65.38
2022-07-03,63.91
2020-01-04,63.25
2020-05-04,63.96
2020-06-04,62.64
2020-07-04,62.62
2020-08-04,61.54
2020-09-04,62.61
2020-12-04,62.43
2021-01-04,62.23
2021-02-04,62.58
2021-03-04,64.24
2021-04-04,64.96
2021-07-04,65.38
2021-08-04,65.43
2021-09-04,65.49
2021-10-04,64.64
2021-11-04,65.37
2022-02-04,66
2022-03-04,61.31
2022-04-04,59.49
2022-05-04,60.59
2022-06-04,61.74
2020-03-05,62.42
2020-04-05,64.56
2020-05-05,65.29
2020-06-05,65.19
2020-07-05,70.45
2020-10-05,69.56
2020-11-05,68.06
2020-12-05,69.64
2021-01-05,68.39
2021-02-05,69.2
2021-05-05,70.56
2021-06-05,70.73
2021-07-05,70.88
2021-08-05,71.8
2021-09-05,73.73
2021-12-05,73.92
2022-01-05,73.96
2022-02-05,73.49
2022-03-05,73.72
2022-04-05,73.6
2020-01-06,73.28
2020-02-06,72.61
2020-03-06,72.41
2020-04-06,71.44
2020-07-06,71.28
2020-08-06,71.55
2020-09-06,71.66
2020-10-06,71.02
2020-11-06,70.81
2021-02-06,68.78
2021-03-06,70
2021-04-06,72.62
2021-05-06,74.31
2021-06-06,71.69
2021-09-06,72.17
2021-10-06,72.2
2021-11-06,73.09
2021-12-06,72.8
2022-01-06,73.9
2022-04-06,74.3
2022-05-06,73.75
2022-06-06,72.93
2020-01-07,73.66
2020-02-07,73.88
2020-06-07,73.61
2020-07-07,74.14
2020-08-07,72.66
2020-09-07,73.51
2020-12-07,74.7
2021-01-07,74.57
2021-02-07,73.77
2021-03-07,73.3
2021-04-07,72.66
2021-07-07,71.37
2021-08-07,71.67
2021-09-07,72.91
2021-10-07,73.15
2021-11-07,73.46
2022-02-07,72.67
2022-03-07,70.47
2022-04-07,69.73
2022-05-07,69.08
2022-06-07,68.61
2020-02-08,70.31
2020-03-08,69.33
2020-04-08,69.09
2020-05-08,67.23
2020-06-08,66.8
2020-09-08,66.19
2020-10-08,64.99
2020-11-08,64.45
2020-12-08,63.11
2021-01-08,63.07
2021-04-08,64.06
2021-05-08,65.41
2021-06-08,63.82
2021-07-08,63.91
2021-08-08,64.31
2021-11-08,64.53
2021-12-08,64.58
2022-01-08,63.56
2022-02-08,63.58
2022-03-08,63.98
2022-06-08,63.23
2022-07-08,62.98
2020-01-09,62.71
2020-02-09,64.61
2020-03-09,64.37
2020-07-09,63.79
2020-08-09,62.85
2020-09-09,61.96
2020-10-09,59.73
2021-01-09,62.9
2021-02-09,60.8
2021-03-09,61.63
2021-04-09,61.59
2021-05-09,64.64
2021-08-09,64.35
2021-09-09,63.09
2021-10-09,62.94
2021-11-09,62.6
2021-12-09,62.82
2022-03-09,63.83
2022-04-09,63.5
2022-05-09,63.26
2022-06-09,62.31
2020-01-10,63.05
2020-04-10,62.53
2020-05-10,62.71
2020-06-10,63.04
2020-07-10,63.97
2020-08-10,64.33
2020-11-10,63.1
2020-12-10,63.04
2021-01-10,61.94
2021-02-10,63.23
2021-03-10,65.32
2021-06-10,64.01
2021-07-10,64.71
2021-08-10,68.09
2021-09-10,68.99
2021-10-10,69.24
2022-01-10,67.97
2022-02-10,70.97
2022-03-10,70.55
2022-04-10,71.61
2022-05-10,71.24
2020-01-11,71.74
2020-02-11,69.34
2020-03-11,73.9
2020-04-11,73.77
2020-05-11,74.17
2020-08-11,74.08
2020-09-11,74.77
2020-10-11,75.06
2020-11-11,75.29
2020-12-11,75.86
2021-03-11,75.1
2021-04-11,74.98
2021-05-11,76.18
2021-06-11,75.37
2021-07-11,73.01
2021-10-11,74.08
2021-11-11,76.03
2021-12-11,75.61
2022-02-11,73.9
2022-05-11,73.77
2022-06-11,71.41
2020-01-12,70.18
2020-02-12,71.42
2020-03-12,71.05
2020-06-12,71.77
2020-07-12,73.4
2020-08-12,73.88
2020-09-12,74.87
2020-10-12,78.45
2021-01-12,78.15
2021-02-12,81.85
2021-03-12,83.33
2021-04-12,83
2021-05-12,83.02
2021-08-12,82.42
2021-09-12,82.99
2021-10-12,84.37
2021-11-12,84.72
2022-03-12,84.37
2022-04-12,84.45
2022-05-12,84.22
2022-06-12,83.99
2022-07-12,82.4
2020-03-01,82.65
2020-04-01,81.08
2020-05-01,79.79
2020-06-01,76.34
2020-07-01,76.34
2020-10-01,77.84
2020-11-01,80.02
2020-12-01,80.32
2021-01-01,79.88
2021-02-01,80.55
2021-06-01,78.69
2021-07-01,77.61
2021-08-01,78.95
2021-09-01,77.14
2021-12-01,77.53
2022-01-01,76.37
2022-02-01,75.34
2022-03-01,76.27
2022-04-01,77.27
2022-07-01,77.76
2020-01-02,76.95
2020-02-02,78.82
2020-03-02,81.53
2020-04-02,80.57
2020-07-02,80.79
2020-08-02,85.67
2020-09-02,85.95
2020-10-02,84.15
2020-11-02,83.32
2021-02-02,82.01
2021-03-02,84.08
2021-04-02,84.22
2021-05-02,82.81
2021-06-02,82.06
2021-10-02,81.4
1999-11-30,
